canonical_brand_id,canonical_name,migration_status,registry_review_note,priority20_staged,priority20_data_quality,product_records_count,product_verified_public_count,product_review_required_count,owner_confirmed_supplier_count,official_current_verified,official_verification_batch,research_phase,action_needed
BR-00034,ALAND,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00035,AMERICAN HOLIC,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00036,YECCA VECCA,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00037,CRAFT STANDARD BOUTIQUE,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00038,GARAGE OF GOOD CLOTHING,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00039,23区,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00040,ICB,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00041,自由区,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00042,組曲,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00043,J.Press,MAPPED_ONLY,Official capitalization requires final source readback,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,J.PRESS LADIESの女性ニット商品を公式商品単位で確認
BR-00044,五大陸,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,EXCLUDED_MENS_ONLY,現行公式ブランド確認済み・メンズ対象外
BR-00045,uncrave,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00046,#Newans,MAPPED_ONLY,Hash is ignored only in normalized key,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00047,UNFILO,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00048,TAKEO KIKUCHI,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,EXCLUDED_MENS_ONLY,現行公式ブランド確認済み・メンズ対象外
BR-00049,INDIVI,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00050,UNTITLED,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00051,NATURAL BEAUTY BASIC,MAPPED_ONLY,Candidate display key NBB retained as alias,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00052,SENSE OF PLACE,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00053,B.C STOCK,MAPPED_ONLY,Punctuation variants are aliases,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00054,SLOBE IENA,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00055,green label relaxing,MAPPED_ONLY,Short code retained,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00056,Spick & Span,MAPPED_ONLY,Ampersand and 'and' variants are aliases,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00057,IÉNA,MAPPED_ONLY,Diacritic retained in canonical name,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00058,Te chichi,MAPPED_ONLY,NOT AVAILABLE,NO,,6,0,5,1,YES,2026-08-08-B1,PRODUCT_EVIDENCE_PRESENT,既存商品URL/公式証拠をHuman Review
BR-00059,ANY,REVIEW REQUIRED,Ambiguous source label must not be merged automatically,NO,,0,0,0,0,YES,2026-08-08-B1,CURRENT_BRAND_IDENTITY_RESOLVED,現行ANYとして公式確認済み・女性ニット商品を次工程で確認
BR-00060,MUJI Labo,MAPPED_ONLY,Separate line under MUJI,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,MUJI Laboとして女性ニット商品を公式商品単位で確認
BR-00061,MATINEE LINE,REVIEW REQUIRED,Official scope requires source readback,NO,,0,0,0,0,YES,2026-08-08-B1,SUBLINE_RESOLVED,GLOBAL WORK女性向けサブラインとして商品単位調査へ接続
BR-00062,Mila Owen,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00063,ROPÉ,MAPPED_ONLY,No prior Brand ID observed,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00064,ADAM ET ROPÉ,MAPPED_ONLY,No prior Brand ID observed,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
