staging_product_id,staging_product_name,official_match_status,official_product_name,official_code,official_url,official_composition,official_functions,official_structure_note,change_required,checked_date,notes
PRD_ROPE_PICNIC_013,プチスパンコールメッシュニット,EXACT_OFFICIAL_MATCH,プチスパンコールメッシュニット,GDM16140,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16140,レーヨン56%・アクリル29%・ポリエステル8%・ナイロン7%,,プチスパンコール・メッシュ・モノフィラメント使用,ADD_CODE_URL_COMPOSITION_STRUCTURE_NOTE,2026-08-08,長袖タイプ。フレンチスリーブGDM16560とは別商品・混率も異なる
PRD_ROPE_PICNIC_008,マルチボーダーニット,EXACT_OFFICIAL_MATCH,マルチボーダーニット,GDM16290,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16290,ポリエステル70%・再生繊維（セルロース）30%,,天竺編み・軽量シアー,ADD_CODE_URL_COMPOSITION,2026-08-08,再生繊維（セルロース）表記をそのまま保持
PRD_ROPE_PICNIC_012,ラメ混アイレットドルマンニット,EXACT_OFFICIAL_MATCH,ラメ混アイレットドルマンニット,GDM16120,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16120,レーヨン65%・ナイロン27%・ポリエステル8%,,レーヨン/ポリエステルのラメ素材にナイロンをプレーティング; 総針編み横使い; アイレット,ADD_CODE_URL_COMPOSITION_STRUCTURE,2026-08-08,プレーティング構造を公式説明で確認
PRD_ROPE_PICNIC_017,レイヤード風カーディガントップス,EXACT_OFFICIAL_MATCH,レイヤード風カーディガントップス,GDM16390,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDM16390,レーヨン65%・ポリエステル35%,,麻調シャリ感・レイヤード風,ADD_CODE_URL_COMPOSITION,2026-08-08,名称の麻調は風合い説明で天然麻混率ではない
PRD_ROPE_PICNIC_009,レースポロニット,EXACT_OFFICIAL_MATCH,レースポロニット,GDM16250,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16250,ポリエステル100%,,レースポロ・コットンライクポリエステル糸,ADD_CODE_URL_COMPOSITION,2026-08-08,公式商品と一致
PRD_ROPE_PICNIC_003,八方映えニット ケープニットプルオーバー/UVカット・イージーケア,EXACT_OFFICIAL_MATCH,八方映えニット ケープニットプルオーバー/UVカット・イージーケア,GDM16540,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16540,レーヨン65%・ナイロン35%,UVカット; イージーケア,レーヨンナイロン総針系,ADD_CODE_URL_COMPOSITION,2026-08-08,シリーズ内でも品番単位で混率確認
PRD_ROPE_PICNIC_002,八方映えニット ゼロスリーブニットプルオーバー/UVカット・接触冷感・イージーケア,EXACT_OFFICIAL_MATCH,八方映えニット ゼロスリーブニットプルオーバー/UVカット・接触冷感・イージーケア,GDM16520,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16520,レーヨン65%・ナイロン35%,UVカット; 接触冷感; イージーケア; 遮熱; 近赤外線ケア,レーヨンナイロン総針編み,ADD_CODE_URL_COMPOSITION_EXPAND_FUNCTION_EVIDENCE,2026-08-08,公式は前シーズン品番から組成変更があるため現行品番の混率を個別保持
PRD_ROPE_PICNIC_014,八方映えニット ハーフスリーブニット/UVカット・接触冷感・イージーケア,EXACT_OFFICIAL_MATCH,〖ベストヒット〗八方映えニット ハーフスリーブニット/UVカット・接触冷感・イージーケア,GDM16500,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16500,レーヨン65%・ナイロン35%,UVカット(紫外線遮蔽率90%以上); 接触冷感; 洗濯機OK; アンチピリング; イージーケア; 遮熱; 近赤外線ケア(遮蔽率80.0%),レーヨンナイロン総針編み,ADD_OFFICIAL_NAME_CODE_URL_COMPOSITION_EXPAND_FUNCTION_EVIDENCE,2026-08-08,機能根拠を公式詳細へ拡張
PRD_ROPE_PICNIC_004,八方映えニット フレンチスリーブキーネックニットプルオーバー/UVカット・イージーケア,EXACT_OFFICIAL_MATCH,八方映えニット フレンチスリーブキーネックニットプルオーバー/UVカット・イージーケア,GDM16550,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16550,レーヨン66%・ナイロン34%,UVカット; イージーケア; 遮熱; 近赤外線ケア,レーヨンナイロン総針編み,ADD_CODE_URL_COMPOSITION_EXPAND_FUNCTION_EVIDENCE,2026-08-08,同シリーズでもGDM16520/GDM16500とは混率が異なるため個別保持
TMP_NBR_BRNC_0003_0003,八方映えニット 金ボタンフレンチスリーブポロカラーカーディガン,POSSIBLE_DUPLICATE_SAME_OFFICIAL_PRODUCT,八方映えニット 金ボタンフレンチスリーブポロカラーカーディガン/UVカット・接触冷感・イージーケア,GDK16500,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDK16500,レーヨン65%・ナイロン35%,UVカット(紫外線遮蔽率90%以上); 接触冷感; 洗濯機OK; アンチピリング; イージーケア; 遮熱; 近赤外線ケア(遮蔽率80.0%),総針系・ポロカラーカーディガン,HUMAN_REVIEW_DUPLICATE_WITH_PRD_ROPE_PICNIC_018,2026-08-08,既存staging RY65/NY35は公式と一致。同じ公式GDK16500に別staging行があるため自動統合しない
PRD_ROPE_PICNIC_018,八方映えニット 金ボタンフレンチスリーブポロカラーカーディガン/UVカット・接触冷感・イージーケア,POSSIBLE_DUPLICATE_SAME_OFFICIAL_PRODUCT,八方映えニット 金ボタンフレンチスリーブポロカラーカーディガン/UVカット・接触冷感・イージーケア,GDK16500,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDK16500,レーヨン65%・ナイロン35%,UVカット(紫外線遮蔽率90%以上); 接触冷感; 洗濯機OK; アンチピリング; イージーケア; 遮熱; 近赤外線ケア(遮蔽率80.0%),総針系・ポロカラーカーディガン,HUMAN_REVIEW_DUPLICATE_WITH_TMP_NBR_BRNC_0003_0003,2026-08-08,同じ公式GDK16500に別staging行があるため自動統合しない
